"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.3.1","192.138.1.3","TCP","58","49153  >  2600 [SYN] Seq=0 Win=65535 Len=0 TSval=3000 TSecr=0 WS=4 SACK_PERM=1"
"4","0.010215","192.138.1.3","10.0.3.1","TCP","58","2600  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=3004 TSecr=3000 WS=4 SACK_PERM=1"
"5","0.010278","10.0.3.1","192.138.1.3","TCP","54","49153  >  2600 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=3010 TSecr=3004"
"6","0.010858","192.138.1.3","192.138.2.3","IPv4","1502","Fragmented IP protocol (proto=UDP 17, off=0, ID=0000) [Reassembled in #7]"
"7","0.011192","192.138.1.3","192.138.2.3","UDP","1110","63  >  49153 Len=2560"
"8","0.058439","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"9","0.058498","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"10","0.058557","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"11","0.058616","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"12","0.058675","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"13","0.058713","10.0.3.1","192.138.1.3","ZEBRA","374","Zebra Request"
"14","0.058751","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=537 Win=131072 Len=0 TSval=3058 TSecr=3058"
"15","0.059238","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=1609 Win=131072 Len=0 TSval=3059 TSecr=3058"
"16","0.059905","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=2681 Win=131072 Len=0 TSval=3059 TSecr=3058"
"17","0.106439","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"18","0.106498","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"19","0.106557","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"20","0.106616","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"21","0.106675","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"22","0.106713","10.0.3.1","192.138.1.3","ZEBRA","374","Zebra Request"
"23","0.106751","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=3537 Win=131072 Len=0 TSval=3106 TSecr=3058"
"24","0.107211","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=4609 Win=131072 Len=0 TSval=3107 TSecr=3106"
"25","0.107853","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=5681 Win=131072 Len=0 TSval=3107 TSecr=3106"
"26","0.154439","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"27","0.154498","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"28","0.154557","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"29","0.154616","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"30","0.154675","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"31","0.154713","10.0.3.1","192.138.1.3","ZEBRA","374","Zebra Request"
"32","0.156445","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=6537 Win=131072 Len=0 TSval=3154 TSecr=3106"
"33","0.156480","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=7609 Win=131072 Len=0 TSval=3155 TSecr=3154"
"34","0.156521","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=8681 Win=131072 Len=0 TSval=3155 TSecr=3154"
"35","0.202439","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"36","0.202498","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"37","0.202557","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"38","0.202616","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"39","0.202675","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"40","0.202713","10.0.3.1","192.138.1.3","ZEBRA","374","Zebra Request"
"41","0.202751","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=9537 Win=131072 Len=0 TSval=3202 TSecr=3154"
"42","0.203220","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=10609 Win=131072 Len=0 TSval=3203 TSecr=3202"
"43","0.203675","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=11681 Win=131072 Len=0 TSval=3203 TSecr=3202"
"44","0.250439","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"45","0.250498","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"46","0.250557","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"47","0.250616","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"48","0.250675","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"49","0.250713","10.0.3.1","192.138.1.3","ZEBRA","374","Zebra Request"
"50","0.250751","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=12537 Win=131072 Len=0 TSval=3250 TSecr=3202"
"51","0.251213","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=13609 Win=131072 Len=0 TSval=3251 TSecr=3250"
"52","0.251873","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=14681 Win=131072 Len=0 TSval=3251 TSecr=3250"
"53","0.298439","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"54","0.298498","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"55","0.298557","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"56","0.298616","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"57","0.298675","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"58","0.298713","10.0.3.1","192.138.1.3","ZEBRA","374","Zebra Request"
"59","0.298751","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=15537 Win=131072 Len=0 TSval=3298 TSecr=3250"
"60","0.299211","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=16609 Win=131072 Len=0 TSval=3299 TSecr=3298"
"61","0.299844","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=17681 Win=131072 Len=0 TSval=3299 TSecr=3298"
"62","0.346439","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"63","0.346498","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"64","0.346557","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"65","0.346616","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"66","0.346675","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"67","0.346713","10.0.3.1","192.138.1.3","ZEBRA","374","Zebra Request"
"68","0.346751","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=18537 Win=131072 Len=0 TSval=3346 TSecr=3298"
"69","0.347228","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=19609 Win=131072 Len=0 TSval=3347 TSecr=3346"
"70","0.347676","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=20681 Win=131072 Len=0 TSval=3347 TSecr=3346"
"71","0.394439","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"72","0.394498","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"73","0.394557","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"74","0.394616","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"75","0.394675","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"76","0.394713","10.0.3.1","192.138.1.3","ZEBRA","374","Zebra Request"
"77","0.396334","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=21537 Win=131072 Len=0 TSval=3394 TSecr=3346"
"78","0.396370","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=22609 Win=131072 Len=0 TSval=3395 TSecr=3394"
"79","0.396404","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=23681 Win=131072 Len=0 TSval=3395 TSecr=3394"
"80","0.442439","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"81","0.442498","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"82","0.442557","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"83","0.442616","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"84","0.442675","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"85","0.442713","10.0.3.1","192.138.1.3","ZEBRA","374","Zebra Request"
"86","0.442751","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=24537 Win=131072 Len=0 TSval=3442 TSecr=3394"
"87","0.443230","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=25609 Win=131072 Len=0 TSval=3443 TSecr=3442"
"88","0.443715","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=26681 Win=131072 Len=0 TSval=3443 TSecr=3442"
"89","0.490439","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"90","0.490498","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"91","0.490557","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"92","0.490616","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"93","0.490675","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"94","0.490713","10.0.3.1","192.138.1.3","ZEBRA","374","Zebra Request"
"95","0.490751","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=27537 Win=131072 Len=0 TSval=3490 TSecr=3442"
"96","0.492187","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=28609 Win=131072 Len=0 TSval=3491 TSecr=3490"
"97","0.492221","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=29681 Win=131072 Len=0 TSval=3491 TSecr=3490"
"98","0.538439","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"99","0.538498","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"100","0.538557","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"101","0.538616","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"102","0.538675","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"103","0.538713","10.0.3.1","192.138.1.3","ZEBRA","374","Zebra Request"
"104","0.538751","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=30537 Win=131072 Len=0 TSval=3538 TSecr=3490"
"105","0.539200","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=31609 Win=131072 Len=0 TSval=3539 TSecr=3538"
"106","0.539692","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=32681 Win=131072 Len=0 TSval=3539 TSecr=3538"
"107","0.586439","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"108","0.586498","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"109","0.586557","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"110","0.586616","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"111","0.586675","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"112","0.586713","10.0.3.1","192.138.1.3","ZEBRA","374","Zebra Request"
"113","0.586751","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=33537 Win=131072 Len=0 TSval=3586 TSecr=3538"
"114","0.587199","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=34609 Win=131072 Len=0 TSval=3587 TSecr=3586"
"115","0.588280","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=35681 Win=131072 Len=0 TSval=3587 TSecr=3586"
"116","0.634439","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"117","0.634498","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"118","0.634557","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"119","0.634616","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"120","0.634675","10.0.3.1","192.138.1.3","ZEBRA","590","Zebra Request"
"121","0.634713","10.0.3.1","192.138.1.3","ZEBRA","374","Zebra Request"
"122","0.634751","192.138.1.3","10.0.3.1","TCP","54","2600  >  49153 [ACK] Seq=1 Ack=36537 Win=131072 Len=0 TSval=3634 TSecr=3586"
